bar,timestamp,close,sma,ema,rsi,macd,macd_signal,macd_histogram,atr,vwap,roc,cci,vwap_status
129,2023-05-19T11:24:00,448.2,481.89250000000004,474.41626056145947,36.8480206569907,-16.408561241467396,-13.113966115719755,-3.294595125747641,17.036099672869092,,-11.545293072824158,-85.15592813513186,missing_volume
130,2023-05-19T11:25:00,465.4,480.035,473.5575690794157,44.52290714777683,-15.057532844002594,-13.502679461376323,-1.5548533826262716,17.62280683909273,,-6.966516741629192,-59.216101694915196,missing_volume
131,2023-05-19T11:26:00,472.15,478.7225,473.4235148813761,47.233137919432224,-13.288977457453257,-13.45993906059171,0.1709616031384531,17.639034922014677,,-3.049281314168384,-21.557595357560196,missing_volume
132,2023-05-19T11:27:00,485.05,477.30249999999995,474.5307991783879,52.0539079331375,-10.72285597274987,-12.912522443023342,2.1896664702734725,18.000532427585057,,1.7836533417269873,14.006067283456806,missing_volume
133,2023-05-19T11:28:00,496.3,476.69750000000005,476.6040563994938,55.84273518517479,-7.692728245728745,-11.868563603564422,4.175835357835677,18.032637254186124,,0.3741530994033848,43.75594722971652,missing_volume
134,2023-05-19T11:29:00,493.75,475.6325,478.23700340906584,54.785934694305155,-5.434448935433181,-10.581740669938174,5.147291734504993,17.505306021744257,,3.83806519453207,60.0049322092232,missing_volume
135,2023-05-19T11:30:00,496.6,474.7925,479.98586022725004,55.79288459782518,-3.3758603141425283,-9.140564598779045,5.764704284636517,16.822784163048237,,10.355555555555561,77.76739676647907,missing_volume
136,2023-05-19T11:31:00,498.5,474.485,481.74911163417863,56.48859869241235,-1.5729676870442972,-7.627045216432096,6.054077529387799,16.3211567228305,,11.53372860498938,80.04493100398493,missing_volume
137,2023-05-19T11:32:00,512.6,474.78000000000003,484.6872914785426,61.34976976594961,0.9822669089676879,-5.905182791352139,6.887449700319827,16.205359814056898,,17.690276661692117,122.32014956175514,missing_volume
138,2023-05-19T11:33:00,510.8,475.3075,487.1742160996338,60.421724779448,2.8294476675643523,-4.158256699568841,6.987704367133193,16.04783411305283,,12.461470717745481,133.8423428855793,missing_volume
139,2023-05-19T11:34:00,500.1,475.9625,488.4052431377639,55.08712150504579,3.3908633882019785,-2.648432682014677,6.039296070216656,16.022988819263343,,11.356045424181694,87.20445494850891,missing_volume
140,2023-05-19T11:35:00,506.75,477.4725,490.1523628389292,57.59304958321467,4.322561022454238,-1.2542339411208938,5.576794963575132,15.621346760744531,,10.765027322404364,90.53182366015243,missing_volume
141,2023-05-19T11:36:00,501.2,477.81000000000006,491.2045187590312,54.84279249002757,4.560528559005718,-0.09128144109557135,4.651810000101289,15.14839342069135,,11.82507809013833,75.51381354769589,missing_volume
142,2023-05-19T11:37:00,513.4,479.70500000000004,493.31837411531393,59.42915901838884,5.668217898936234,1.0606184269107897,4.607599472025445,15.062793890641968,,10.31370863773098,82.82789214910662,missing_volume
143,2023-05-19T11:38:00,510.4,482.725,494.94519562814116,57.87261678415502,6.232154357298498,2.094925612988331,4.137228744310167,14.626165755596112,,8.10123901302553,85.64850742407756,missing_volume
144,2023-05-19T11:39:00,506.75,485.715,496.06946271117533,55.952459521537286,6.31179512259888,2.938299514910441,3.3734956076884393,14.48858248733925,,4.47376559117616,66.87129361981096,missing_volume
145,2023-05-19T11:40:00,508.15,489.34499999999997,497.2199900720158,56.54797567714633,6.413943356123696,3.633428283153092,2.7805150729706036,14.017969452529302,,2.387668748740679,68.12032689966975,missing_volume
146,2023-05-19T11:41:00,494.65,491.3675,496.97522911277616,49.58615638044116,5.343957574912338,3.975534141504941,1.3684234334073966,14.180971634491495,,0.1822784810126432,29.55848728049559,missing_volume
147,2023-05-19T11:42:00,488.15,493.32,496.1347311020356,46.610687167145926,3.926231306727857,3.965673574549524,-0.039442267821667265,14.20375937488496,,-1.7015706806282838,-18.556353757039552,missing_volume
148,2023-05-19T11:43:00,498.4,495.36499999999995,496.3504709970798,51.548116282817084,3.5883975489567206,3.8902183694309636,-0.30182082047424297,14.039205133821747,,-0.020060180541625616,-3.2617735731364936,missing_volume
149,2023-05-19T11:44:00,492.05,497.5575,495.94090233069124,48.552457768950624,2.776266854988421,3.6674280665424552,-0.8911612115540342,13.800690481405908,,-4.008973858759268,-15.734426211804287,missing_volume
150,2023-05-19T11:45:00,479.65,498.27,494.38938782300636,43.26497889758996,1.1191699653552405,3.157776446305012,-2.0386064809497717,14.032784018448345,,-6.098277212216141,-121.7301122498776,missing_volume
151,2023-05-19T11:46:00,477.9,498.5575,492.818969935101,42.56053637237191,-0.3314805318257754,2.4599250506788546,-2.79140558250463,13.79115658855918,,-4.439112177564497,-171.23986602810922,missing_volume
